Order Number,Sales Channel,Warehouse Code,Procured Date,Order Date,Ship Date,Delivery Date,Team ID,Team,Customer ID,Store ID,Product ID,Product,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 0001025,In-Store,WARE-NMK1003,5/31/2018,9/15/2018,9/18/2018,9/19/2018,5,Gaylord,44,201,10,Coolant Sensor,6,40%,1038.5,689.31
SO - 0001026,Online,WARE-MKL1006,8/16/2018,9/15/2018,9/20/2018,9/27/2018,19,Fairmont,50,352,9,Coolant Tank,2,7.50%,3470.6,271.39
SO - 0001027,Distributor,WARE-NBV1002,5/26/2018,9/15/2018,9/20/2018,9/26/2018,23,Willmar,14,83,25,Trunk,1,15%,2659.9,1074.1
SO - 0001028,Online,WARE-NMK1003,7/23/2018,9/15/2018,9/18/2018,9/24/2018,17,Milaca,24,128,18,Handbrake,8,5%,1118.9,331.25
SO - 0001029,In-Store,WARE-PUJ1005,5/15/2018,9/15/2018,9/21/2018,9/25/2018,4,Owatonna,46,327,7,Distributor Wire,4,40%,3892.7,24.83
SO - 000103,Distributor,WARE-UHY1004,5/18/2018,5/31/2018,6/1/2018,6/12/2018,21,Marshall,16,213,16,Seat - Rear,1,5%,1775.5,511.83
SO - 0001030,In-Store,WARE-NMK1003,4/14/2018,9/15/2018,9/19/2018,9/30/2018,9,Olivia,47,177,5,Break Set,3,7.50%,2003.3,537.09
SO - 0001031,Online,WARE-NBV1002,7/5/2018,9/15/2018,9/18/2018,9/22/2018,12,Thief River Falls,26,86,42,Bumper - Front,4,5%,998.3,480.27
SO - 0001032,In-Store,WARE-PUJ1005,7/27/2018,9/16/2018,9/22/2018,9/28/2018,9,Olivia,45,312,17,Seatbelt,3,5%,2546,55.61
SO - 0001033,Online,WARE-XYS1001,8/6/2018,9/16/2018,9/20/2018,9/24/2018,15,St.Peter,29,26,26,Door Handle,5,7.50%,2552.7,162.29
SO - 0001034,In-Store,WARE-XYS1001,5/20/2018,9/16/2018,9/18/2018,9/26/2018,1,Granite Falls,22,49,16,Seat - Rear,8,5%,3839.1,511.83
SO - 0001035,Distributor,WARE-MKL1006,9/5/2018,9/16/2018,9/19/2018,9/30/2018,23,Willmar,41,354,13,Window Switch - Front,4,5%,6076.9,492.45
SO - 0001036,Distributor,WARE-PUJ1005,8/12/2018,9/16/2018,9/21/2018,9/28/2018,20,Glencoe,37,307,12,Gear Shift Knob,7,20%,1051.9,98.45
SO - 0001037,Distributor,WARE-PUJ1005,4/18/2018,9/16/2018,9/18/2018,9/22/2018,21,Marshall,45,303,41,Antenna,8,7.50%,1132.3,83.64
SO - 0001038,In-Store,WARE-MKL1006,8/26/2018,9/17/2018,9/23/2018,10/1/2018,6,Elk River,8,366,25,Trunk,8,5%,2961.4,1074.1
SO - 0001039,In-Store,WARE-NMK1003,9/1/2018,9/17/2018,9/19/2018,9/27/2018,6,Elk River,39,88,26,Door Handle,4,5%,3396.9,162.29
SO - 000104,Wholesale,WARE-NMK1003,3/22/2018,5/31/2018,6/6/2018,6/7/2018,28,Montevideo,48,107,23,Quarter Panel - Rear,8,7.50%,2324.9,338.25
SO - 0001040,In-Store,WARE-UHY1004,4/18/2018,9/17/2018,9/22/2018,9/26/2018,5,Gaylord,34,244,5,Break Set,7,20%,5728.5,537.09
SO - 0001041,Distributor,WARE-UHY1004,8/19/2018,9/17/2018,9/20/2018,9/24/2018,21,Marshall,46,230,19,Trunk Release,6,5%,2224.4,42.75
SO - 0001042,Online,WARE-MKL1006,8/11/2018,9/17/2018,9/20/2018,9/27/2018,13,Fergus Falls,42,357,39,Break Light,3,7.50%,3986.5,55.82
SO - 0001043,Wholesale,WARE-NMK1003,8/20/2018,9/17/2018,9/21/2018,9/30/2018,26,Red Wing,39,155,4,Break Router,8,10%,5681.6,193.82
SO - 0001044,Distributor,WARE-XYS1001,8/15/2018,9/18/2018,9/23/2018,10/4/2018,23,Willmar,39,21,20,Door - Front,2,7.50%,5272.9,660.94
SO - 0001045,Distributor,WARE-PUJ1005,4/12/2018,9/18/2018,9/19/2018,9/26/2018,23,Willmar,24,323,45,Rearview Mirror,8,20%,1125.6,313.72
SO - 0001046,Online,WARE-NBV1002,6/16/2018,9/18/2018,9/21/2018,9/30/2018,15,St.Peter,37,60,46,Trunk Carpet,7,5%,690.1,91.33
SO - 0001047,In-Store,WARE-NMK1003,7/7/2018,9/18/2018,9/23/2018,10/3/2018,5,Gaylord,29,92,23,Quarter Panel - Rear,3,5%,2546,338.25
SO - 0001048,In-Store,WARE-UHY1004,6/15/2018,9/18/2018,9/20/2018,9/24/2018,1,Granite Falls,9,224,43,Bumper - Rear,5,10%,3035.1,574.36
SO - 0001049,Online,WARE-NMK1003,3/31/2018,9/18/2018,9/19/2018,9/25/2018,16,Austin,16,135,31,Radiator Cap - Standard,2,5%,4006.6,79.87
SO - 000105,Distributor,WARE-NMK1003,2/9/2018,5/31/2018,6/1/2018,6/4/2018,22,Two Harbors,49,111,26,Door Handle,8,10%,1822.4,162.29
SO - 0001050,In-Store,WARE-NMK1003,7/20/2018,9/19/2018,9/23/2018,9/30/2018,3,St. James,24,195,29,Radiator Cap - Custom,6,10%,3892.7,770.71
SO - 0001051,In-Store,WARE-MKL1006,6/28/2018,9/19/2018,9/23/2018,10/1/2018,6,Elk River,45,338,30,Radiator,8,10%,2566.1,1818.48
SO - 0001052,In-Store,WARE-NMK1003,8/4/2018,9/19/2018,9/21/2018,9/28/2018,2,Buffalo,44,201,23,Quarter Panel - Rear,8,7.50%,1333.3,338.25
SO - 0001053,In-Store,WARE-MKL1006,8/2/2018,9/19/2018,9/24/2018,10/3/2018,8,Luverne,20,353,7,Distributor Wire,5,5%,1051.9,24.83
SO - 0001054,Wholesale,WARE-PUJ1005,6/2/2018,9/19/2018,9/23/2018,10/1/2018,27,Grand Marais,49,281,41,Antenna,3,5%,3946.3,83.64
SO - 0001055,Distributor,WARE-NMK1003,5/20/2018,9/19/2018,9/24/2018,10/3/2018,23,Willmar,26,149,47,Hood Ornament,8,5%,1118.9,396.81
SO - 0001056,Online,WARE-PUJ1005,5/13/2018,9/19/2018,9/25/2018,9/27/2018,19,Fairmont,50,278,18,Handbrake,8,7.50%,2881,331.25
SO - 0001057,In-Store,WARE-UHY1004,6/27/2018,9/20/2018,9/25/2018,9/29/2018,8,Luverne,23,211,45,Rearview Mirror,7,5%,2224.4,313.72
SO - 0001058,Online,WARE-NMK1003,4/4/2018,9/20/2018,9/25/2018,9/30/2018,19,Fairmont,39,164,9,Coolant Tank,1,7.50%,1011.7,271.39
SO - 0001059,Distributor,WARE-XYS1001,4/23/2018,9/20/2018,9/22/2018,10/1/2018,24,Mora,16,17,1,Leaf Springs,2,20%,167.5,1028.78
SO - 000106,Online,WARE-PUJ1005,4/1/2018,5/31/2018,6/2/2018,6/6/2018,12,Thief River Falls,21,285,1,Leaf Springs,5,5%,1038.5,1028.78
SO - 0001060,In-Store,WARE-XYS1001,4/16/2018,9/20/2018,9/21/2018,10/1/2018,12,Thief River Falls,4,15,32,Radiator Sensor,7,5%,1139,683.25
SO - 0001061,Distributor,WARE-NMK1003,6/2/2018,9/20/2018,9/25/2018,10/4/2018,23,Willmar,44,134,9,Coolant Tank,8,5%,167.5,271.39
SO - 0001062,In-Store,WARE-NMK1003,7/21/2018,9/20/2018,9/24/2018,10/1/2018,1,Granite Falls,29,153,18,Handbrake,1,5%,864.3,331.25
SO - 0001063,In-Store,WARE-NMK1003,8/7/2018,9/20/2018,9/22/2018,9/24/2018,4,Owatonna,44,135,2,Spark Plug,1,5%,2914.5,1.38
SO - 0001064,Distributor,WARE-UHY1004,5/6/2018,9/21/2018,9/26/2018,10/5/2018,24,Mora,41,232,46,Trunk Carpet,3,5%,5293,91.33
SO - 0001065,In-Store,WARE-NBV1002,9/4/2018,9/21/2018,9/27/2018,10/2/2018,2,Buffalo,39,66,15,Seat - Front,6,20%,924.6,353.1
SO - 0001066,In-Store,WARE-NMK1003,7/15/2018,9/21/2018,9/24/2018,9/27/2018,4,Owatonna,47,160,1,Leaf Springs,4,10%,884.4,1028.78
SO - 0001067,Online,WARE-XYS1001,5/18/2018,9/21/2018,9/25/2018,10/6/2018,18,Lichfield,3,58,11,AC Unit,7,40%,2458.9,1786.59
SO - 0001068,In-Store,WARE-MKL1006,5/7/2018,9/21/2018,9/23/2018,9/28/2018,3,St. James,42,357,18,Handbrake,8,5%,924.6,331.25
SO - 0001069,In-Store,WARE-NMK1003,6/24/2018,9/21/2018,9/26/2018,10/6/2018,8,Luverne,12,101,21,Door - Rear,8,5%,6344.9,468.99
SO - 000107,In-Store,WARE-XYS1001,2/5/2018,5/31/2018,6/2/2018,6/6/2018,10,Redwood Falls,14,6,5,Break Set,4,15%,1192.6,537.09
SO - 0001070,Online,WARE-XYS1001,7/3/2018,9/21/2018,9/26/2018,10/7/2018,18,Lichfield,14,22,44,Cruise Control,2,40%,3932.9,863.58
SO - 0001071,Distributor,WARE-PUJ1005,7/7/2018,9/22/2018,9/25/2018,9/28/2018,23,Willmar,3,296,40,Blinker Fluid,5,7.50%,1112.2,17.05
SO - 0001072,Distributor,WARE-UHY1004,4/20/2018,9/22/2018,9/27/2018,10/6/2018,23,Willmar,46,261,30,Radiator,7,15%,904.5,1818.48
SO - 0001073,Online,WARE-NMK1003,8/24/2018,9/22/2018,9/27/2018,10/1/2018,15,St.Peter,50,93,28,CV Joint,2,7.50%,1165.8,1294.12
SO - 0001074,In-Store,WARE-PUJ1005,6/4/2018,9/22/2018,9/25/2018,10/1/2018,1,Granite Falls,14,291,5,Break Set,7,15%,174.2,537.09
SO - 0001075,In-Store,WARE-PUJ1005,6/6/2018,9/22/2018,9/27/2018,10/5/2018,11,Glenwood,27,320,38,Blinker Set,6,7.50%,2378.5,800.13
SO - 0001076,In-Store,WARE-MKL1006,7/6/2018,9/22/2018,9/25/2018,9/27/2018,2,Buffalo,18,362,29,Radiator Cap - Custom,4,10%,1025.1,770.71
SO - 0001077,In-Store,WARE-NMK1003,5/4/2018,9/22/2018,9/26/2018,9/27/2018,7,Roseau,11,100,17,Seatbelt,6,7.50%,3839.1,55.61
SO - 0001078,Online,WARE-NMK1003,3/31/2018,9/22/2018,9/25/2018,10/5/2018,16,Austin,11,170,34,Ignition System,8,15%,1031.8,526.6
SO - 0001079,Wholesale,WARE-MKL1006,9/9/2018,9/22/2018,9/26/2018,10/3/2018,27,Grand Marais,7,336,16,Seat - Rear,6,5%,1005,511.83
SO - 000108,In-Store,WARE-PUJ1005,4/8/2018,5/31/2018,6/1/2018,6/3/2018,6,Elk River,9,280,46,Trunk Carpet,5,5%,1815.7,91.33
SO - 0001080,Distributor,WARE-MKL1006,5/13/2018,9/23/2018,9/25/2018,9/28/2018,25,Park Rapids,31,339,5,Break Set,6,5%,3886,537.09
SO - 0001081,In-Store,WARE-NMK1003,5/23/2018,9/23/2018,9/26/2018,10/4/2018,10,Redwood Falls,30,184,43,Bumper - Rear,6,15%,1125.6,574.36
SO - 0001082,In-Store,WARE-PUJ1005,7/14/2018,9/23/2018,9/25/2018,9/27/2018,2,Buffalo,43,325,23,Quarter Panel - Rear,2,10%,3899.4,338.25
SO - 0001083,Online,WARE-UHY1004,4/7/2018,9/23/2018,9/25/2018,10/3/2018,14,Worthington,5,211,8,Transmission,5,5%,1842.5,2610.59
SO - 0001084,Online,WARE-NMK1003,7/23/2018,9/23/2018,9/29/2018,10/7/2018,17,Milaca,11,155,27,Door Handle Set,2,5%,201,1403.72
SO - 0001085,Online,WARE-PUJ1005,4/2/2018,9/23/2018,9/29/2018,10/5/2018,13,Fergus Falls,32,301,45,Rearview Mirror,7,5%,1768.8,313.72
SO - 0001086,In-Store,WARE-PUJ1005,4/17/2018,9/23/2018,9/26/2018,10/4/2018,3,St. James,24,267,10,Coolant Sensor,1,40%,5996.5,689.31
SO - 0001087,Online,WARE-MKL1006,7/14/2018,9/23/2018,9/29/2018,10/1/2018,13,Fergus Falls,15,329,29,Radiator Cap - Custom,1,7.50%,2525.9,770.71
SO - 0001088,Distributor,WARE-XYS1001,8/20/2018,9/23/2018,9/27/2018,10/2/2018,24,Mora,42,57,26,Door Handle,1,5%,1005,162.29
SO - 0001089,Online,WARE-PUJ1005,7/20/2018,9/23/2018,9/26/2018,9/30/2018,15,St.Peter,16,285,13,Window Switch - Front,5,30%,944.7,492.45
SO - 000109,In-Store,WARE-PUJ1005,12/27/2017,1/6/2018,1/8/2018,1/17/2018,4,Owatonna,9,299,47,Hood Ornament,4,30%,3879.3,396.81
SO - 0001090,Online,WARE-UHY1004,7/12/2018,9/23/2018,9/28/2018,9/29/2018,15,St.Peter,49,245,32,Radiator Sensor,7,30%,1681.7,683.25
SO - 0001091,Online,WARE-MKL1006,5/15/2018,9/24/2018,9/27/2018,10/1/2018,14,Worthington,20,336,10,Coolant Sensor,2,20%,180.9,689.31
SO - 0001092,Online,WARE-PUJ1005,6/25/2018,9/24/2018,9/29/2018,10/2/2018,19,Fairmont,40,306,1,Leaf Springs,4,5%,1896.1,1028.78
SO - 0001093,In-Store,WARE-PUJ1005,7/4/2018,9/24/2018,9/30/2018,10/1/2018,12,Thief River Falls,41,286,14,Window Switch - Rear,8,7.50%,804,444.93
SO - 0001094,In-Store,WARE-PUJ1005,7/9/2018,9/24/2018,9/26/2018,9/27/2018,7,Roseau,31,285,30,Radiator,5,10%,1112.2,1818.48
SO - 0001095,Online,WARE-NMK1003,4/11/2018,9/24/2018,9/25/2018,10/3/2018,14,Worthington,18,174,22,Quarter Panel - Front,7,10%,971.5,368.39
SO - 0001096,Online,WARE-PUJ1005,7/18/2018,9/24/2018,9/25/2018,10/4/2018,17,Milaca,30,271,3,Break Pad Set,2,5%,2465.6,211.19
SO - 0001097,In-Store,WARE-UHY1004,4/3/2018,9/24/2018,9/25/2018,10/4/2018,2,Buffalo,34,208,47,Hood Ornament,6,5%,2659.9,396.81
SO - 0001098,Wholesale,WARE-NBV1002,6/5/2018,9/25/2018,9/27/2018,10/1/2018,27,Grand Marais,30,61,11,AC Unit,7,20%,1675,1786.59
SO - 0001099,Online,WARE-NMK1003,8/23/2018,9/25/2018,9/28/2018,9/29/2018,14,Worthington,3,115,38,Blinker Set,5,5%,6150.6,800.13
SO - 000110,In-Store,WARE-UHY1004,7/27/2017,1/6/2018,1/12/2018,1/18/2018,10,Redwood Falls,33,261,13,Window Switch - Front,8,5%,1956.4,492.45
SO - 0001100,Online,WARE-NMK1003,4/19/2018,9/25/2018,9/28/2018,10/3/2018,16,Austin,43,172,43,Bumper - Rear,5,5%,5306.4,574.36
SO - 0001101,Distributor,WARE-PUJ1005,5/9/2018,9/25/2018,10/1/2018,10/10/2018,21,Marshall,3,329,3,Break Pad Set,6,15%,3758.7,211.19
SO - 0001102,Online,WARE-PUJ1005,6/10/2018,9/25/2018,9/29/2018,10/3/2018,15,St.Peter,8,318,23,Quarter Panel - Rear,7,7.50%,2291.4,338.25
SO - 0001103,In-Store,WARE-NMK1003,9/20/2018,9/25/2018,9/28/2018,10/7/2018,5,Gaylord,16,142,44,Cruise Control,7,7.50%,5748.6,863.58
SO - 0001104,Online,WARE-MKL1006,8/22/2018,9/25/2018,9/28/2018,9/29/2018,13,Fergus Falls,22,355,3,Break Pad Set,8,10%,1909.5,211.19
SO - 0001105,Online,WARE-NMK1003,8/7/2018,9/25/2018,9/29/2018,10/8/2018,13,Fergus Falls,22,185,11,AC Unit,7,5%,3892.7,1786.59
SO - 0001106,Online,WARE-MKL1006,8/4/2018,9/25/2018,9/28/2018,10/5/2018,12,Thief River Falls,43,362,11,AC Unit,6,7.50%,1118.9,1786.59
SO - 0001107,Online,WARE-NMK1003,8/5/2018,9/25/2018,9/29/2018,10/7/2018,16,Austin,3,164,12,Gear Shift Knob,1,7.50%,3999.9,98.45
SO - 0001108,In-Store,WARE-PUJ1005,9/2/2018,9/26/2018,9/28/2018,10/7/2018,10,Redwood Falls,45,286,39,Break Light,2,7.50%,1782.2,55.82
SO - 0001109,Distributor,WARE-NMK1003,8/22/2018,9/26/2018,9/28/2018,10/8/2018,24,Mora,12,114,47,Hood Ornament,4,5%,1072,396.81
SO - 000111,Distributor,WARE-XYS1001,8/3/2017,1/6/2018,1/11/2018,1/20/2018,23,Willmar,21,17,38,Blinker Set,6,10%,201,800.13
SO - 0001110,In-Store,WARE-XYS1001,9/1/2018,9/26/2018,10/2/2018,10/12/2018,10,Redwood Falls,3,29,2,Spark Plug,4,40%,917.9,1.38
SO - 0001111,Distributor,WARE-PUJ1005,8/17/2018,9/26/2018,10/1/2018,10/4/2018,23,Willmar,40,323,34,Ignition System,2,7.50%,5252.8,526.6
SO - 0001112,Distributor,WARE-UHY1004,5/28/2018,9/26/2018,10/2/2018,10/8/2018,22,Two Harbors,2,213,44,Cruise Control,4,7.50%,6505.7,863.58
SO - 0001113,In-Store,WARE-PUJ1005,7/29/2018,9/26/2018,9/30/2018,10/2/2018,4,Owatonna,7,317,21,Door - Rear,6,10%,3390.2,468.99
SO - 0001114,In-Store,WARE-PUJ1005,5/24/2018,9/26/2018,9/27/2018,10/6/2018,6,Elk River,34,298,34,Ignition System,5,7.50%,221.1,526.6
SO - 0001115,Online,WARE-PUJ1005,7/30/2018,9/26/2018,9/30/2018,10/7/2018,14,Worthington,14,282,38,Blinker Set,2,5%,3993.2,800.13
SO - 0001116,In-Store,WARE-MKL1006,6/25/2018,9/26/2018,10/1/2018,10/7/2018,9,Olivia,43,340,24,Hood,8,40%,2519.2,707.85
SO - 0001117,In-Store,WARE-XYS1001,8/13/2018,9/27/2018,9/29/2018,10/9/2018,9,Olivia,11,19,21,Door - Rear,5,5%,3953,468.99
SO - 0001118,In-Store,WARE-PUJ1005,4/15/2018,9/27/2018,10/2/2018,10/11/2018,12,Thief River Falls,12,303,37,Tail Light,3,20%,1092.1,22.71
SO - 0001119,Online,WARE-NBV1002,5/31/2018,9/27/2018,10/3/2018,10/4/2018,20,Glencoe,26,84,36,Rear Axel,7,30%,5835.7,1099.4
SO - 000112,In-Store,WARE-NMK1003,9/3/2017,1/6/2018,1/9/2018,1/18/2018,10,Redwood Falls,21,152,40,Blinker Fluid,5,15%,6277.9,17.05
SO - 0001120,In-Store,WARE-NMK1003,5/25/2018,9/27/2018,10/2/2018,10/7/2018,12,Thief River Falls,31,101,17,Seatbelt,5,5%,1701.8,55.61
SO - 0001121,Wholesale,WARE-XYS1001,4/24/2018,9/27/2018,10/1/2018,10/9/2018,26,Red Wing,31,20,45,Rearview Mirror,6,15%,6117.1,313.72
SO - 0001122,In-Store,WARE-MKL1006,8/12/2018,9/27/2018,10/1/2018,10/4/2018,6,Elk River,6,332,16,Seat - Rear,2,7.50%,1829.1,511.83
SO - 0001123,In-Store,WARE-MKL1006,6/27/2018,9/27/2018,9/30/2018,10/3/2018,2,Buffalo,48,363,9,Coolant Tank,5,7.50%,3932.9,271.39
SO - 0001124,Online,WARE-NMK1003,7/13/2018,9/27/2018,10/1/2018,10/7/2018,15,St.Peter,20,97,15,Seat - Front,2,5%,1695.1,353.1
SO - 0001125,Online,WARE-NMK1003,8/12/2018,9/27/2018,9/30/2018,10/7/2018,12,Thief River Falls,18,199,36,Rear Axel,4,20%,180.9,1099.4
SO - 0001126,In-Store,WARE-NMK1003,7/30/2018,9/28/2018,10/2/2018,10/10/2018,12,Thief River Falls,2,126,3,Break Pad Set,1,15%,877.7,211.19
SO - 0001127,In-Store,WARE-NBV1002,7/13/2018,9/28/2018,10/1/2018,10/3/2018,9,Olivia,45,79,33,Radiator Fluid,7,15%,2646.5,90.21
SO - 0001128,In-Store,WARE-NBV1002,9/18/2018,9/28/2018,9/29/2018,10/6/2018,9,Olivia,25,74,47,Hood Ornament,4,5%,5132.2,396.81
SO - 0001129,Online,WARE-XYS1001,7/10/2018,9/28/2018,10/2/2018,10/12/2018,18,Lichfield,21,48,17,Seatbelt,8,40%,5112.1,55.61
SO - 000113,In-Store,WARE-PUJ1005,7/23/2017,1/6/2018,1/9/2018,1/14/2018,4,Owatonna,36,317,39,Break Light,5,5%,1051.9,55.82
SO - 0001130,In-Store,WARE-UHY1004,5/2/2018,9/28/2018,10/3/2018,10/11/2018,12,Thief River Falls,47,222,31,Radiator Cap - Standard,7,5%,1065.3,79.87
SO - 0001131,Online,WARE-UHY1004,9/25/2018,9/28/2018,9/30/2018,10/7/2018,19,Fairmont,13,216,2,Spark Plug,6,15%,3269.6,1.38
SO - 0001132,In-Store,WARE-PUJ1005,4/11/2018,9/28/2018,10/3/2018,10/4/2018,9,Olivia,28,315,35,Front Axel,6,7.50%,6070.2,1176.68
SO - 0001133,Online,WARE-XYS1001,4/9/2018,9/28/2018,10/3/2018,10/6/2018,18,Lichfield,3,33,46,Trunk Carpet,7,20%,1279.7,91.33
SO - 0001134,In-Store,WARE-NBV1002,4/21/2018,9/28/2018,9/30/2018,10/10/2018,11,Glenwood,41,74,18,Handbrake,1,5%,3061.9,331.25
SO - 0001135,In-Store,WARE-UHY1004,4/25/2018,9/28/2018,10/2/2018,10/7/2018,1,Granite Falls,24,233,15,Seat - Front,2,5%,2646.5,353.1
SO - 0001136,Distributor,WARE-NMK1003,7/30/2018,9/29/2018,9/30/2018,10/3/2018,23,Willmar,28,169,40,Blinker Fluid,6,7.50%,5232.7,17.05
SO - 0001137,Online,WARE-NMK1003,5/10/2018,9/29/2018,10/3/2018,10/6/2018,16,Austin,19,105,7,Distributor Wire,6,15%,3986.5,24.83
SO - 0001138,Online,WARE-PUJ1005,4/16/2018,9/29/2018,10/2/2018,10/12/2018,16,Austin,8,306,39,Break Light,4,10%,247.9,55.82
SO - 0001139,Distributor,WARE-NMK1003,6/13/2018,9/29/2018,10/4/2018,10/11/2018,22,Two Harbors,37,113,23,Quarter Panel - Rear,6,15%,221.1,338.25
SO - 000114,In-Store,WARE-PUJ1005,1/2/2018,1/6/2018,1/7/2018,1/13/2018,8,Luverne,17,291,32,Radiator Sensor,6,15%,254.6,683.25
SO - 0001140,Distributor,WARE-MKL1006,6/20/2018,9/29/2018,10/5/2018,10/13/2018,23,Willmar,12,358,45,Rearview Mirror,3,10%,1118.9,313.72
SO - 0001141,In-Store,WARE-NMK1003,8/7/2018,9/29/2018,10/2/2018,10/12/2018,5,Gaylord,11,146,7,Distributor Wire,1,5%,5433.7,24.83
SO - 0001142,In-Store,WARE-PUJ1005,4/19/2018,9/29/2018,10/1/2018,10/2/2018,7,Roseau,17,291,4,Break Router,5,7.50%,3028.4,193.82
SO - 0001143,Online,WARE-PUJ1005,4/10/2018,9/29/2018,10/2/2018,10/12/2018,15,St.Peter,22,296,8,Transmission,1,15%,3892.7,2610.59
SO - 0001144,In-Store,WARE-UHY1004,7/4/2018,9/29/2018,10/1/2018,10/7/2018,12,Thief River Falls,38,224,39,Break Light,3,15%,2579.5,55.82
